Kotetsu Boku,[u'Joachim Hansen']
Luigi Fioravanti,"[u'Anthony Johnson', u'Brodie Farber', u'Diego Sanchez', u'Luke Cummo', u'Forrest Petz', u'Jon Fitch', u'Dave Menne', u'Solomon Hutcherson', u'Chris Leben']"
Kevin Jackson,"[u'Jerry Bohlander', u'Frank Shamrock', u'Tony Fryklund', u'Todd Butler']"
Jermaine Andre,"[u'Joey Villasenor', u'Ronald Jhun', u'Lance Gibson']"
Jason Riley,"[u'Jason Freeman', u'Daniel Cormier']"
Gray Maynard,"[u'Ross Pearson', u'Nate Diaz', u'TJ Grant', u'Clay Guida', u'Frankie Edgar', u'Frankie Edgar', u'Kenny Florian', u'Nate Diaz', u'Roger Huerta', u'Jim Miller', u'Rich Clementi', u'Frankie Edgar', u'Dennis Siver', u'Joe Veres', u'Rob Emerson']"
Patrick Cote,"[u'Stephen Thompson', u'Kyle Noke', u'Bobby Voelker', u'Alessio Sakara', u'Cung Le', u'Tom Lawlor', u'Alan Belcher', u'Anderson Silva', u'Ricardo Almeida', u'Drew McFedries', u'Kendall Grove', u'Jason Day', u'Scott Smith', u'Travis Lutter', u'Chris Leben', u'Joe Doerksen', u'Tito Ortiz', u'Bill Mahood', u'Steve Vigneault']"
Will Kerr,"[u'Danny Castillo', u'Karen Darabedyan', u'Kamal Shalorus']"
Murad Chunkaiev,[u'Murilo Rua']
Johnny Rhodes,"[u'Fred Ettish', u'David Levicki', u'Patrick Smith']"
Nathan Jones,[u'Koji Kitao']
Kiril Sidelnikov,[u'Paul Buentello']
Keita Nakamura,"[u'Adriano Martins', u'Rob Emerson', u'Drew Fickett', u'Brock Larson']"
Tony Sylvester,[u'Alistair Overeem']
Yasuhito Namekawa,"[u'Mauricio Rua', u'Egidijus Valavicius']"
Isaac Vallie-Flagg,"[u'Matt Wiman', u'Takanori Gomi', u'Elias Silverio', u'Yves Edwards', u'Gesias Cavalcante', u'Brian Melancon']"
Dylan Andrews,"[u'Sam Alvey', u'Clint Hester', u'Papy Abedi', u'Jimmy Quinlan']"
Kengo Ura,[u'Mike Swick']
Shannon Gugerty,"[u'Clay Guida', u'Terry Etim', u'Matt Grice', u'Spencer Fisher', u'Dale Hartt']"
Donnie Liles,[u'Pete Spratt']
Vernon White,"[u'Bobby Southworth', u'Lyoto Machida', u'Chuck Liddell', u'Ian Freeman', u'Allan Goes', u'Kazushi Sakuraba']"
Matt Horwich,"[u'Ricardo Almeida', u'Dan Miller', u'Brian Ebersole']"
Jumabieke Tuerxun,"[u'Marcus Brimage', u'Leandro Issa', u'Mark Eddiva']"
Andy Wang,[u'Cole Miller']
Josh Neer,"[u'Court McGee', u'Justin Edwards', u'Mike Pyle', u'Duane Ludwig', u'Keith Wisniewski', u'Gleison Tibau', u'Kurt Pellegrino', u'Mac Danzig', u'Nate Diaz', u'Din Thomas', u'Nick Diaz', u'Josh Burkman', u'Joe Stevenson', u'Melvin Guillard', u'Drew Fickett']"
Francisco Bueno,"[u'Igor Vovchanchyn', u'Satoshi Honma']"
Charles McCarthy,"[u'Michael Bisping', u'Gideon Ray', u'David Loiseau']"
Erick Silva,"[u'Matt Brown', u'Takenori Sato', u'Jason High', u'Jon Fitch', u'Charlie Brenneman', u'Carlo Prater', u'Luis Ramos']"
Kenneth Seegrist,[u'Eric Lawson']
John Gunderson,"[u'Yves Edwards', u'Mark Holst', u'Rafaello Oliveira']"
Jason Black,"[u'Matt Grice', u'Thiago Tavares', u'Shinya Aoki', u'Antonio McKee']"
Mike Aina,"[u'Billy Evangelista', u'Nick Diaz']"
Ikuhisa Minowa,"[u'Baru Harn', u'Hiroshi Izumi', u'Satoshi Ishii', u'Imani Lee', u'Jimmy Ambriz', u'Bob Sapp', u'Katsuyori Shibata', u'Errol Zimmerman', u'Masakatsu Funaki', u'Taiei Kin', u'Kiyoshi Tamura', u'Mike Polchlopek', u'Eric Esch', u'Mirko Filipovic', u'Kazushi Sakuraba', u'Murilo Bustamante', u'Phil Baroni', u'Kimo Leopoldo', u'Phil Baroni', u'Gilbert Yvel', u'Stefan Leko', u'Ryuki Ueyama', u'Kenichi Yamamoto', u'Ryan Gracie', u'Wanderlei Silva', u'Quinton Jackson', u'Joe Slick']"
Tommy Hayden,"[u'Dennis Bermudez', u'Fabricio Camoes']"
John Teixeira,[u'Hugo Viana']
Dongi Yang,"[u'Brad Tavares', u'Court McGee', u'Rob Kimmons', u'Chris Camozzi']"
Ernest Chavez,"[u'Zubaira Tukhugov', u'Elias Silverio', u'Yosdenis Cedeno']"
Kazuki Okubo,"[u'Ryuichi Murata', u'Daijiro Matsui']"
Amaury Bitetti,"[u'Alex Andrade', u'Don Frye']"
Luciano Azevedo,[u'Hayato Sakurai']
Jeremy Hamilton,[u'Derek Brunson']
Dave Strasser,"[u'Georges St-Pierre', u'Karo Parisyan', u'Romie Aram']"
T.J. Dillashaw,"[u'Joe Soto', u'Renan Barao', u'Mike Easton', u'Raphael Assuncao', u'Hugo Viana', u'Issei Tamura', u'Vaughan Lee', u'Walel Watson', u'John Dodson']"
Israel Albuquerque,[u'Anderson Silva']
Ricardo Morais,"[u'Aleksander Emelianenko', u'Mark Coleman']"
Murilo Rua,"[u'Riki Fukuda', u'Benji Radach', u'Tony Bonello', u'Robbie Lawler', u'Joey Villasenor', u'Denis Kang', u'Paulo Filho', u'Murad Chunkaiev', u'Quinton Jackson', u'Sergei Kharitonov', u'Alexander Otsuka', u'Akira Shoji', u'Kevin Randleman', u'Ricardo Arona', u'Mario Sperry', u'Alex Andrade', u'Dan Henderson', u'Daijiro Matsui']"
Katsuhisa Fujii,"[u'Igor Vovchanchyn', u'Kenichi Yamamoto', u'Masutatsu Yano']"
Melvin Guillard,"[u'Michael Johnson', u'Ross Pearson', u'Mac Danzig', u'Jamie Varner', u'Donald Cerrone', u'Fabricio Camoes', u'Jim Miller', u'Joe Lauzon', u'Shane Roller', u'Evan Dunham', u'Jeremy Stephens', u'Waylon Lowe', u'Ronys Torres', u'Nate Diaz', u'Gleison Tibau', u'Dennis Siver', u'Rich Clementi', u'Joe Stevenson', u'Gabe Ruediger', u'Rick Davis', u'Josh Neer', u'Marcus Davis']"
Jeff Newton,[u'Sam Hoger']
Waylon Kennell,[u'Eric Lawson']
Elvis Sinosic,"[u'Michael Bisping', u'Alessio Sakara', u'Forrest Griffin', u'Renato Sobral', u'Evan Tanner', u'Tito Ortiz', u'Jeremy Horn']"
Marcio Cruz,"[u'Andrei Arlovski', u'Jeff Monson', u'Frank Mir', u'Keigo Kunihara']"
Eduardo Pamplona,"[u'Tyler Stinson', u'Jerron Peoples']"
Falaniko Vitale,"[u'Frank Trigg', u'Trevor Prangley', u'Ron Fields', u'Matt Lindland', u'Matt Lindland']"
Steve Cantwell,"[u'Riki Fukuda', u'Mike Massenzio', u'Cyrille Diabate', u'Brian Stann', u'Luiz Cane', u'Razak Al-Hassan', u'Brian Stann', u'Tim McKenzie', u'Justin McElfresh', u'Brian Stann']"
Scott Ferrozzo,"[u'Vitor Belfort', u'Jim Mullen', u'Sam Fulton', u'David Abbott', u'Jerry Bohlander']"
John Alessio,"[u'Shane Roller', u'Mark Bocek', u'Andre Galvao', u'Brock Larson', u'Todd Moore', u'Marcelo Brito', u'Alex Serdyukov', u'Carlos Condit', u'Brian Gassaway', u'Thiago Alves', u'Diego Sanchez', u'Pat Miletich']"
Tom Watson,"[u'Sam Alvey', u'Nick Catone', u'Thales Leites', u'Stanislav Nedkov', u'Brad Tavares']"
Ed Ratcliff,"[u'Chris Horodecki', u'Donald Cerrone', u'Phil Cardella', u'Marcus Hicks', u'Alex Karalexis', u'Johnny Sampaio']"
Neil Magny,"[u'Alex Garcia', u'Tim Means', u'Gasan Umalatov', u'Seth Baczynski', u'Sergio Moraes', u'Jon Manley']"
Tim Stout,[u'Jason Miller']
John Cofer,"[u'Mike Rio', u'Justin Lawrence']"
Dan Stittgen,"[u'Marcelo Guimaraes', u'Stephen Thompson']"
Rob Emerson,"[u'Nik Lentz', u'Phillipe Nover', u'Kurt Pellegrino', u'Manvel Gamburyan', u'Keita Nakamura', u'Gray Maynard']"
Roy Nelson,"[u'Mark Hunt', u'Daniel Cormier', u'Stipe Miocic', u'Cheick Kongo', u'Matt Mitrione', u'Dave Herman', u'Fabricio Werdum', u'Mirko Filipovic', u'Frank Mir', u'Stefan Struve', u'Brendan Schaub', u'Andrei Arlovski', u'Ben Rothwell']"
Denis Stojnic,"[u'Stefan Struve', u'Cain Velasquez']"
Koichiro Matsumoto,[u'Takeshi Inoue']
Marco Ruas,"[u'Maurice Smith', u'Alexander Otsuka', u'Gary Goodridge', u'Oleg Taktarov', u'Keith Hackney', u'Remco Pardoel', u'Larry Cureton', u'Paul Varelans']"
Greg Soto,"[u'Daniel Roberts', u'Nick Osipczak', u'Matthew Riddle']"
Bill Duvall,[u'Luke Stewart']
Dokonjonosuke Mishima,"[u'Kenny Florian', u'Joe Stevenson', u'Charles Bennett', u'Yves Edwards', u'Marcus Aurelio', u'Ralph Gracie']"
Jamie Yager,[u'Rich Attonito']
Jesse Juarez,[u'Luke Stewart']
Justin McCully,"[u'Mike Russow', u'Eddie Sanchez', u'Gabriel Gonzaga', u'Antoni Hardonk']"
Hatsu Hioki,"[u'Charles Oliveira', u'Ivan Menjivar', u'Darren Elkins', u'Clay Guida', u'Ricardo Lamas', u'Bart Palaszewski', u'George Roop', u'Jeff Curran']"
Michael Chiesa,"[u'Joe Lauzon', u'Francisco Trinaldo', u'Colton Smith', u'Jorge Masvidal', u'Anton Kuivanen', u'Al Iaquinta']"
Piotr Hallmann,"[u'Gleison Tibau', u'Yves Edwards', u'Al Iaquinta', u'Francisco Trinaldo']"
Yoel Romero,"[u'Tim Kennedy', u'Brad Tavares', u'Derek Brunson', u'Ronny Markes', u'Clifford Starks', u'Rafael Cavalcante']"
Travis Galbraith,"[u'Rafael Cavalcante', u'Kazuhiro Nakamura', u'Georges St-Pierre']"
Minoki Ichihara,[u'Royce Gracie']
Olaf Alfonso,"[u'Alex Karalexis', u'John Polakowski', u'Hayato Sakurai', u'Gilbert Melendez']"
Chris Indich,"[u'Vik Grujic', u'Richard Walsh']"
Edwin Figueroa,"[u'Erik Perez', u'Roland Delorme', u'Francisco Rivera', u'Alex Caceres', u'Jason Reinhardt', u'Michael McDonald']"
Marcus Aurelio,"[u'Shinya Aoki', u'Evan Dunham', u'Hermes Franca', u'Tyson Griffin', u'Ryan Roberts', u'Luke Caudillo', u'Clay Guida', u'Takanori Gomi', u'Mitsuhiro Ishida', u'Takanori Gomi', u'Jutaro Nakao', u'Daisuke Nakamura', u'Dokonjonosuke Mishima']"
Issac DeJesus,[u'Bobby Stack']
Roger Huerta,"[u'Gray Maynard', u'Kenny Florian', u'Clay Guida', u'Alberto Crane', u'Doug Evans', u'Leonard Garcia', u'John Halverson', u'Jason Dent']"
Rico Altamirano,[u'Alexander Trevino']
Seth Petruzelli,"[u'Karlos Vemola', u'Ricardo Romero', u'Kevin Ferguson', u'Wilson Gouveia', u'Matt Hamill']"
Jason Tan,[u'Marcus Davis']
Tim Credeur,"[u'Ed Herman', u'Nate Quarry', u'Nick Catone', u'Nate Loughran', u'Cale Yarbrough']"
Damion Douglas,[u'Wayne Phillips']
Romie Aram,"[u'Dave Strasser', u'Joe Stevenson']"
Tyron Woodley,"[u'Rory MacDonald', u'Carlos Condit', u'Josh Koscheck', u'Jake Shields', u'Jay Hieron', u'Nate Marquardt', u'Jordan Mein', u'Paul Daley', u'Tarec Saffiedine', u'Andre Galvao', u'Nathan Coy', u'Rudy Bears', u'Zach Light', u'Salvador Woods']"
Naoya Ogawa,"[u'Hidehiko Yoshida', u'Fedor Emelianenko', u'Stefan Leko', u'Masaaki Satake', u'Gary Goodridge']"
Steve Mensing,[u'Gegard Mousasi']
Ryan Couture,"[u'Al Iaquinta', u'Ross Pearson', u'KJ Noons', u'Joe Duarte', u'Conor Heun', u'Maka Watson', u'Matt Ricehouse', u'Lee Higgins', u'Lucas Stark']"
Matt Foki,[u'Aleksander Emelianenko']
Cameron Dollar,[u'Jason Dent']
Nathan Coy,"[u'Nate Moore', u'Tyron Woodley', u'Dave Courchaine']"
Matt Hughes,"[u'Josh Koscheck', u'BJ Penn', u'Ricardo Almeida', u'Renzo Gracie', u'Matt Serra', u'Thiago Alves', u'Georges St-Pierre', u'Chris Lytle', u'Georges St-Pierre', u'BJ Penn', u'Royce Gracie', u'Joe Riggs', u'Frank Trigg', u'Georges St-Pierre', u'Renato Verissimo', u'BJ Penn', u'Frank Trigg', u'Sean Sherk', u'Gil Castillo', u'Carlos Newton', u'Hayato Sakurai', u'Carlos Newton', u'Dennis Hallman', u'Marcelo Aguiar', u'Valeri Ignatov']"
Shane Nelson,"[u'Matt Wiman', u'Aaron Riley', u'Aaron Riley', u'George Roop']"
Chase Gormley,"[u'Brendan Schaub', u'Stefan Struve']"
Edgar Cardenas,[u'Rolando Perez']
Dave Courchaine,[u'Nathan Coy']
Hirotaka Yokoi,"[u'Quinton Jackson', u'Mario Sperry', u'Heath Herring', u'Jerrel Venetiaan']"
Jon Murphy,[u'Brett Rogers']
He-Man Gipson,[u'Anthony Macias']
Yuri Vaulin,[u'Joe Moreira']
Scott Bessac,"[u'Joe Charles', u'David Hood']"
Chris Clements,"[u'Vik Grujic', u'Stephen Thompson', u'Matthew Riddle', u'Keith Wisniewski']"
Roger Narvaez,"[u'Luke Barnatt', u'Patrick Cummins']"
Curtis Stout,"[u'Anderson Silva', u'Rich Franklin', u'Trevor Prangley', u'Phil Baroni']"
Dan Bobish,"[u'Mark Hunt', u'Igor Vovchanchyn', u'Gary Goodridge', u'Brian Johnston', u'Mark Kerr']"
Chris Camozzi,"[u'Rafael Natal', u'Bruno Santos', u'Lorenz Larkin', u'Nick Ring', u'Luiz Cane', u'Nick Catone', u'Dustin Jacoby', u'Francis Carmont', u'Kyle Noke', u'Dongi Yang', u'James Hammortree']"
Norifumi Yamamoto,"[u'Vaughan Lee', u'Darren Uyenoyama', u'Demetrious Johnson', u'Federico Lopez', u'Masanori Kanehara', u'Joe Warren']"
Art Santore,"[u'Eric Schambari', u'Ivan Salaverry']"
Fabio Mello,[u'Takanori Gomi']
Vinc Pichel,"[u'Anthony Njokuani', u'Garett Whiteley', u'Rustam Khabilov']"
Keith Rockel,"[u'Chris Liguori', u'Eugene Jackson']"
Joe Warren,"[u'Bibiano Fernandes', u'Norifumi Yamamoto', u'Chase Beebe']"
Maciej Jewtuszko,"[u'Curt Warburton', u'Anthony Njokuani']"
Caol Uno,"[u'Takeshi Inoue', u'Akiyo Nishiura', u'Kazuyuki Miyata', u'Gleison Tibau', u'Fabricio Camoes', u'Spencer Fisher', u'Shinya Aoki', u'Mitsuhiro Ishida', u'Hermes Franca', u'BJ Penn', u'Din Thomas', u'Yves Edwards', u'BJ Penn', u'Fabiano Iha', u'Jens Pulver']"
Delson Heleno,[u'Francisco Trinaldo']
Yoshiki Takahashi,"[u'Vitor Belfort', u'Igor Vovchanchyn', u'Heath Herring', u'Wallid Ismail']"
Ronny Markes,"[u'Thiago Santos', u'Yoel Romero', u'Andrew Craig', u'Aaron Simpson', u'Karlos Vemola']"
Cheick Kongo,"[u'Roy Nelson', u'Shawn Jordan', u'Mark Hunt', u'Matt Mitrione', u'Pat Barry', u'Travis Browne', u'Paul Buentello', u'Frank Mir', u'Cain Velasquez', u'Antoni Hardonk', u'Mostapha Al-Turk', u'Dan Evensen', u'Heath Herring', u'Mirko Filipovic', u'Assuerio Silva', u'Carmelo Marrero', u'Christian Wellisch', u'Gilbert Aldana']"
Anthony Lapsley,"[u'Albert Tumenov', u'Jason High']"
Brian Ebersole,"[u'John Howard', u'Rick Story', u'James Head', u'Claude Patrick', u'Dennis Hallman', u'Chris Lytle', u'Matt Horwich']"
Alex Andrade,"[u'Murilo Rua', u'Amaury Bitetti']"
Kenneth Alexander,"[u'Rob McCullough', u'Donald Cerrone']"
Phil Cardella,"[u'Ed Ratcliff', u'Danny Castillo']"
Aaron Phillips,"[u'Matt Hobar', u'Sam Sicilia']"
Yusuke Kawaguchi,[u'James Thompson']
Kit Cope,"[u'Rob McCullough', u'Kenny Florian', u'Tiki Ghosn']"
Kyosuke Sasaki,[u'Eiji Mitsuoka']
Justin Pennington,[u'Dustin Ortiz']
Kyle Kingsbury,"[u'Patrick Cummins', u'Jimi Manuwa', u'Glover Teixeira', u'Stephan Bonnar', u'Fabio Maldonado', u'Ricardo Romero', u'Jared Hamman', u'Razak Al-Hassan', u'Tom Lawlor']"
Daniel Gracie,"[u'Wataru Sakata', u'Kazuhiro Nakamura', u'Takashi Sugiura']"
Pascal Krauss,"[u'Mike Stumpf', u'John Hathaway', u'Mark Scanlon']"
Thales Leites,"[u'Francis Carmont', u'Trevor Smith', u'Ed Herman', u'Tom Watson', u'Alessio Sakara', u'Anderson Silva', u'Drew McFedries', u'Nate Marquardt', u'Ryan Jensen', u'Floyd Sword', u'Pete Sell', u'Martin Kampmann']"
Jeff Joslin,"[u'Josh Koscheck', u'Jon Fitch']"
Dave Martin,"[u'Jesse Gillespie', u'Jesse Gillespie']"
Nick Penner,"[u'Cody Donovan', u'Anthony Perosh']"
Sam Hoger,"[u'Lyoto Machida', u'Rashad Evans', u'Jeff Newton', u'Stephan Bonnar', u'Bobby Southworth']"
Michael Kuiper,"[u'Tom Lawlor', u'Jared Hamman', u'Rafael Natal']"
Pete Williams,"[u'Frank Mir', u'Ricco Rodriguez', u'Semmy Schilt', u'Kevin Randleman', u'Travis Fulton', u'Jason Godsey', u'Tsuyoshi Kohsaka', u'Mark Coleman']"
Rodrigo Gracie,"[u'BJ Penn', u'Hayato Sakurai', u'Daiju Takase', u'Yuki Sasaki', u'Daijiro Matsui']"
Takeshi Yamazaki,"[u'Hideo Tokoro', u'Shoji Maruyama']"
Christophe Leninger,"[u'Guy Mezger', u'Ken Shamrock']"
Lucas Martins,"[u'Darren Elkins', u'Alex White', u'Jeremy Larsen', u'Edson Barboza']"
James Toney,[u'Randy Couture']
Helio Dipp,[u'Rousimar Palhares']
Yohan Banks,"[u'Michael Diaz', u'Joey Beltran']"
Chuck Liddell,"[u'Rich Franklin', u'Mauricio Rua', u'Rashad Evans', u'Wanderlei Silva', u'Keith Jardine', u'Quinton Jackson', u'Tito Ortiz', u'Renato Sobral', u'Randy Couture', u'Jeremy Horn', u'Randy Couture', u'Vernon White', u'Tito Ortiz', u'Quinton Jackson', u'Alistair Overeem', u'Randy Couture', u'Renato Sobral', u'Vitor Belfort', u'Amar Suloev', u'Murilo Bustamante', u'Guy Mezger', u'Kevin Randleman', u'Jeff Monson', u'Paul Jones', u'Jeremy Horn', u'Noe Hernandez']"
Gerald Strebendt,[u'Josh Thomson']
Gan McGee,"[u'Semmy Schilt', u'Heath Herring', u'Tim Sylvia', u'Alexandre Dantas', u'Pedro Rizzo', u'Josh Barnett']"
Stephen Ledbetter,[u'Jeff Curran']
Rani Yahya,"[u'Johnny Bedford', u'Johnny Bedford', u'Tom Niinimaki', u'Josh Clopton', u'Mizuto Hirota', u'Josh Grispi', u'Chad Mendes', u'Mike Brown', u'Takeya Mizugaki', u'Joseph Benavidez', u'John Hosman', u'Eddie Wineland', u'Yoshiro Maeda', u'Chase Beebe', u'Mark Hominick']"
Nick Ertl,[u'Nam Phan']
Michael Knaap,[u'Alistair Overeem']
Joey Beltran,"[u'Fabio Maldonado', u'Igor Pokrajac', u'Lavar Johnson', u'Stipe Miocic', u'Aaron Rosa', u'Pat Barry', u'Matt Mitrione', u'Tim Hague', u'Rolles Gracie', u'Yohan Banks']"
Pedro Otavio,[u'Mark Kerr']
Nik Theotikos,"[u'Luke Rockhold', u'Nikk Covert', u'Devin Johnson']"
Sam Adkins,"[u'David Abbott', u'Keith Mielke', u'Don Frye']"
Igor Vovchanchyn,"[u'Kazuhiro Nakamura', u'Alistair Overeem', u'Yuki Kondo', u'Yoshiki Takahashi', u'Katsuhisa Fujii', u'Dan Bobish', u'Mirko Filipovic', u'Quinton Jackson', u'Heath Herring', u'Valentijn Overeem', u'Mario Sperry', u'Masaaki Satake', u'Gilbert Yvel', u'Tra Telligman', u'Mark Kerr', u'Nobuhiko Takada', u'Enson Inoue', u'Daijiro Matsui', u'Mark Coleman', u'Kazushi Sakuraba', u'Gary Goodridge', u'Alexander Otsuka', u'Francisco Bueno', u'Mark Kerr', u'Carlos Barreto', u'Akira Shoji', u'Gary Goodridge']"
Ansar Chalangov,"[u'Josh Koscheck', u'Thiago Alves']"
Wilson Gouveia,"[u'Alan Belcher', u'Nate Marquardt', u'Jason MacDonald', u'Ryan Jensen', u'Goran Reljic', u'Jason Lambert', u'Carmelo Marrero', u'Seth Petruzelli', u'Wes Combs', u'Keith Jardine']"
Tatsuya Iwasaki,[u'Wanderlei Silva']
Zak Cummings,"[u'Gunnar Nelson', u'Yan Cabral', u'Tim Kennedy']"
Johnny Case,[u'Kazuki Tokudome']
Quinton Jackson,"[u'Glover Teixeira', u'Ryan Bader', u'Jon Jones', u'Matt Hamill', u'Lyoto Machida', u'Rashad Evans', u'Keith Jardine', u'Wanderlei Silva', u'Forrest Griffin', u'Dan Henderson', u'Chuck Liddell', u'Marvin Eastman', u'Matt Lindland', u'Hirotaka Yokoi', u'Mauricio Rua', u'Murilo Rua', u'Wanderlei Silva', u'Ricardo Arona', u'Ikuhisa Minowa', u'Wanderlei Silva', u'Chuck Liddell', u'Murilo Bustamante', u'Mikhail Iloukhine', u'Kevin Randleman', u'Igor Vovchanchyn', u'Masaaki Satake', u'Daijiro Matsui', u'Yuki Ishikawa', u'Kazushi Sakuraba']"
Max Martyniouk,[u'Justin Lawrence']
Kyle Watson,"[u'John Makdessi', u'Sako Chivitchian']"
Jesse Gillespie,"[u'Dave Martin', u'Eric Lawson', u'Jesse Jones', u'Dave Martin']"
Brandon Vera,"[u'Ben Rothwell', u'Mauricio Rua', u'Eliot Marshall', u'Thiago Silva', u'Jon Jones', u'Randy Couture', u'Krzysztof Soszynski', u'Michael Patt', u'Keith Jardine', u'Reese Andy', u'Fabricio Werdum', u'Tim Sylvia', u'Frank Mir', u'Assuerio Silva', u'Justin Eilers', u'Fabiano Scherner', u'Andre Mussi', u'Mike Whitehead']"
Steve Judson,"[u'Tedd Williams', u'Brad Kohler']"
Saeed Hosseini,[u'Jack Nilson']
Lavar Johnson,"[u'Brendan Schaub', u'Stefan Struve', u'Pat Barry', u'Joey Beltran', u'Shawn Jordan', u'Virgil Zwicker', u'Lolohea Mahe', u'Carl Seumanutafa']"
Takenori Sato,[u'Erick Silva']
Troy Mandaloniz,"[u'Paul Kelly', u'Richie Hightower']"
Dave Menne,"[u'Luigi Fioravanti', u'Josh Koscheck', u'Jake Shields', u'Phil Baroni', u'Murilo Bustamante', u'Gil Castillo', u'Fabiano Iha']"
Stanislav Nedkov,"[u'Tom Watson', u'Thiago Silva', u'Luiz Cane']"
Danny Downes,"[u'Ramsey Nijem', u'Jeremy Stephens', u'Tiequan Zhang', u'Chris Horodecki']"
Kenji Arai,[u'Jens Pulver']
Eddie Yagin,"[u'Mark Hominick', u'Junior Assuncao', u'Vitor Ribeiro']"
Vitor Vianna,[u'Thiago Silva']
Justin Haskins,"[u'Mike Pierce', u'Johny Hendricks']"
Besam Yousef,"[u'Papy Abedi', u'Simeon Thoresen']"
Leandro Issa,"[u'Jumabieke Tuerxun', u'Russell Doane']"
Karen Darabedyan,"[u'Will Kerr', u'Bart Palaszewski', u'Rob McCullough']"
Hiroshi Izumi,"[u'Gegard Mousasi', u'Ikuhisa Minowa', u'Katsuyori Shibata']"
Luiz Firmino,"[u'Tatsuya Kawajiri', u'Kazuyuki Miyata', u'Nobuhiro Obiya', u'Tatsuya Kawajiri', u'Luiz Azeredo', u'Masakazu Imanari', u'Hiroyuki Abe']"
Akira Kikuchi,[u'Shinya Aoki']
David Hood,[u'Scott Bessac']
Kimo Leopoldo,"[u'Ikuhisa Minowa', u'Ken Shamrock', u'David Abbott', u'Tim Lajcik', u'Tsuyoshi Kohsaka', u'Dan Severn', u'Paul Varelans', u'Ken Shamrock', u'Royce Gracie']"
Tyler Toner,"[u'Ian Loveland', u'Diego Nunes', u'Brandon Visher', u'Ricky Johnson']"
Eldari Kurtanidze,[u'Kazuyuki Fujita']
Nate Marquardt,"[u'Hector Lombard', u'Jake Ellenberger', u'Tarec Saffiedine', u'Tyron Woodley', u'Dan Miller', u'Yushin Okami', u'Rousimar Palhares', u'Chael Sonnen', u'Demian Maia', u'Wilson Gouveia', u'Martin Kampmann', u'Thales Leites', u'Jeremy Horn', u'Anderson Silva', u'Dean Lister', u'Crafton Wallace', u'Joe Doerksen', u'Ivan Salaverry']"
Jim Miller,"[u'Donald Cerrone', u'Yancy Medeiros', u'Fabricio Camoes', u'Pat Healy', u'Joe Lauzon', u'Nate Diaz', u'Melvin Guillard', u'Benson Henderson', u'Kamal Shalorus', u'Charles Oliveira', u'Gleison Tibau', u'Mark Bocek', u'Duane Ludwig', u'Steve Lopez', u'Mac Danzig', u'Gray Maynard', u'Matt Wiman', u'David Baron']"
Georges St-Pierre,"[u'Johny Hendricks', u'Nick Diaz', u'Carlos Condit', u'Jake Shields', u'Josh Koscheck', u'Dan Hardy', u'Thiago Alves', u'BJ Penn', u'Jon Fitch', u'Matt Serra', u'Matt Hughes', u'Josh Koscheck', u'Matt Serra', u'Matt Hughes', u'BJ Penn', u'Sean Sherk', u'Frank Trigg', u'Jason Miller', u'Dave Strasser', u'Matt Hughes', u'Jay Hieron', u'Karo Parisyan', u'Pete Spratt', u'Thomas Denny', u'Travis Galbraith', u'Justin Bruckmann', u'Ivan Menjivar']"
Tim McKenzie,"[u'Aaron Simpson', u'Jeremy Lang', u'Steve Cantwell']"
Jose Barreto,[u'Anderson Silva']
Rodney Faverus,[u'Chalid Arrab']
John Hathaway,"[u'John Maguire', u'Pascal Krauss', u'Kris McCray', u'Mike Pyle', u'Diego Sanchez', u'Paul Taylor', u'Rick Story', u'Tom Egan']"
Dante Rivera,[u'Matthew Riddle']
Jerome LeBanner,"[u'Satoshi Ishii', u'Yoshihiro Akiyama']"
Kurt Osiander,[u'Josh Neal']
Roger Gracie,"[u'Tim Kennedy', u'Anthony Smith', u'Keith Jardine', u'Muhammed Lawal', u'Trevor Prangley', u'Kevin Randleman']"
Alex Crispin,[u'Clint Coronel']
Mike Ciesnolevicz,"[u'Tomasz Drwal', u'Neil Grove']"
Fabio Nascimento,"[u'Matt Lindland', u'Rousimar Palhares']"
Rudy Bears,[u'Tyron Woodley']
Charon Spain,[u'Bobby Green']
Din Thomas,"[u'Josh Neer', u'Kenny Florian', u'Jeremy Stephens', u'Clay Guida', u'Rich Clementi', u'Matt Serra', u'Caol Uno', u'Fabiano Iha', u'BJ Penn']"
Kevin Jordan,"[u'Ray Sefo', u'Gabriel Gonzaga', u'Paul Buentello']"
Josh McDonald,[u'Ron Keslar']
JJ Ambrose,[u'Mike Pyle']
Sterling Ford,"[u'Milton Vieira', u'Brian McLaughlin']"
Bazigit Atajev,[u'Alistair Overeem']
Jerrod Sanders,"[u'Pedro Munhoz', u'Yosdenis Cedeno']"
Jon Jones,"[u'Glover Teixeira', u'Alexander Gustafsson', u'Chael Sonnen', u'Vitor Belfort', u'Rashad Evans', u'Lyoto Machida', u'Quinton Jackson', u'Mauricio Rua', u'Ryan Bader', u'Vladimir Matyushenko', u'Brandon Vera', u'Matt Hamill', u""Jake O'Brien"", u'Stephan Bonnar', u'Andre Gusmao']"
David Marshall,[u'James Terry']
Anthony Figueroa,"[u'Chris Cariaso', u'Darren Uyenoyama', u'Pete Sabala', u'Miguel Linares', u'Chris Cariaso', u'David Barrios']"
Chas Skelly,"[u'Sean Soriano', u'Tom Niinimaki', u'Mirsad Bektic']"
